Function,Dimension,Algorithm,Best,Mean,Worst,StdDev
Rosenbrock,2,RO,9.0614e-03,1.6650e-01,5.5986e-01,1.5239e-01
Rosenbrock,2,Improved_RO,1.3343e-02,6.0281e-01,2.9795e+00,9.6478e-01
Rosenbrock,2,PSO,1.6260e-05,3.2925e-02,3.1986e-01,7.8692e-02
Rosenbrock,2,WOA,1.7723e-03,1.6360e-01,6.5571e-01,2.0322e-01
Rosenbrock,10,RO,2.6862e+02,6.9105e+02,1.6066e+03,3.8821e+02
Rosenbrock,10,Improved_RO,1.3493e+02,4.8047e+02,9.0093e+02,2.0114e+02
Rosenbrock,10,PSO,2.8138e+01,7.4167e+02,2.5294e+03,1.0724e+03
Rosenbrock,10,WOA,7.0456e+00,2.5341e+01,2.1726e+02,5.2637e+01
Rosenbrock,30,RO,1.2519e+04,2.1537e+04,3.2400e+04,5.3175e+03
Rosenbrock,30,Improved_RO,8.1222e+03,1.6679e+04,2.5889e+04,4.9827e+03
Rosenbrock,30,PSO,1.0860e+04,8.9042e+04,2.6720e+05,7.0960e+04
Rosenbrock,30,WOA,2.6291e+01,5.8471e+04,2.6291e+05,8.6278e+04
Rastrigin,2,RO,1.8492e-01,1.2941e+00,2.8761e+00,7.7488e-01
Rastrigin,2,Improved_RO,5.9028e-02,7.0035e-01,1.5937e+00,5.4134e-01
Rastrigin,2,PSO,6.6355e-08,2.1103e-01,9.9902e-01,3.5438e-01
Rastrigin,2,WOA,0.0000e+00,7.2117e-03,6.9545e-02,1.8389e-02
Rastrigin,10,RO,3.1853e+01,5.8062e+01,8.0752e+01,1.3162e+01
Rastrigin,10,Improved_RO,3.9007e+01,5.7086e+01,7.4949e+01,1.1219e+01
Rastrigin,10,PSO,1.4108e+01,2.8124e+01,5.2708e+01,9.4716e+00
Rastrigin,10,WOA,2.8422e-14,1.3709e+01,3.5697e+01,1.1735e+01
Rastrigin,30,RO,2.5367e+02,3.1868e+02,3.5606e+02,2.3827e+01
Rastrigin,30,Improved_RO,2.4507e+02,3.0034e+02,3.4610e+02,2.4888e+01
Rastrigin,30,PSO,2.4605e+02,2.8606e+02,3.1854e+02,2.3798e+01
Rastrigin,30,WOA,7.8321e+01,1.8115e+02,2.7632e+02,5.7018e+01
Griewank,2,RO,1.3501e-01,3.7358e-01,9.8229e-01,2.1703e-01
Griewank,2,Improved_RO,5.7149e-02,2.9647e-01,5.0812e-01,1.2110e-01
Griewank,2,PSO,3.6264e-03,5.0205e-02,1.9227e-01,5.1812e-02
Griewank,2,WOA,0.0000e+00,4.7137e-02,2.5219e-01,7.2111e-02
Griewank,10,RO,4.3868e+00,6.6857e+00,1.0271e+01,1.5580e+00
Griewank,10,Improved_RO,3.3721e+00,5.3879e+00,8.0740e+00,1.1927e+00
Griewank,10,PSO,7.8977e-01,1.2445e+00,1.4994e+00,2.0099e-01
Griewank,10,WOA,1.1102e-16,2.3089e+00,1.2175e+01,3.3019e+00
Griewank,30,RO,6.2266e+01,7.9114e+01,9.9259e+01,1.0347e+01
Griewank,30,Improved_RO,4.9337e+01,6.4156e+01,7.8645e+01,8.7899e+00
Griewank,30,PSO,4.7380e+01,8.7788e+01,1.6077e+02,3.4913e+01
Griewank,30,WOA,1.4788e-13,1.0520e+02,3.0373e+02,1.0606e+02
